customerID,SeniorCitizen,tenure,MultipleLines,InternetService,TechSupport,Contract,MonthlyCharges,TotalCharges,Churn,StreamersWithTechSupport,Safer,Family,OnlinePayment,All,ExpectedRechargeTimes,MonthlyChargesBin
3566-CAAYU,0,64,0,1,1,24,49.85,3210.35,0,1,0,1,0,0,2.6666666666666665,0
8337-UPOAQ,1,10,1,0,0,1,89.8,914.3,1,1,0,0,1,0,10.0,1
3982-JGSFD,0,36,0,2,0,12,20.35,695.85,0,0,0,0,0,0,3.0,0
2672-HUYVI,0,6,0,0,0,1,91.1,455.3,1,1,0,0,1,0,6.0,1
0197-PNKNK,0,69,1,0,0,12,84.45,5848.6,0,0,0,1,0,0,5.75,1
0268-QKIWO,0,3,0,2,0,1,19.75,58.85,1,0,0,0,0,0,3.0,0
7817-OMJNA,0,14,0,2,0,12,20.4,275.7,0,0,0,0,0,0,1.1666666666666667,0
2219-MVUSO,0,8,0,1,0,1,45.15,438.4,1,0,0,0,0,0,8.0,0
8659-IOOPU,0,71,1,0,1,24,100.45,7159.7,0,1,0,1,0,0,2.9583333333333335,1
0932-YIXYU,0,47,0,2,0,24,20.25,1029.8,0,0,0,0,0,0,1.9583333333333333,0
1112-CUNAO,1,15,1,0,0,1,89.85,1424.95,1,1,0,0,0,0,15.0,1
0997-YTLNY,0,19,0,1,1,1,48.8,953.65,0,0,0,0,0,0,19.0,0
9845-PEEKO,1,59,1,0,0,24,79.2,4590.35,0,0,0,0,0,0,2.4583333333333335,1
0936-NQLJU,0,41,0,2,0,24,20.65,875.55,0,0,0,0,0,0,1.7083333333333333,0
5322-ZSMZY,0,31,1,2,0,24,25.75,755.6,0,0,0,1,0,0,1.2916666666666667,0
4654-GGUII,0,18,0,1,1,12,40.2,711.95,0,0,0,0,0,0,1.5,0
1481-ZUWZA,0,28,1,0,0,1,94.5,2659.4,1,1,0,0,0,0,28.0,1
6199-IPCAO,0,29,1,2,0,24,26.1,692.55,0,0,0,1,0,0,1.2083333333333333,0
4548-SDBKE,0,5,1,0,0,1,85.2,474.8,1,1,0,0,1,0,5.0,1
9112-WSNPU,1,35,0,0,0,1,70.55,2419.0,0,0,0,0,0,0,35.0,1
3376-BMGFE,0,4,0,0,0,1,70.9,273.0,1,0,0,0,0,0,4.0,1
5816-QVHRX,0,37,1,0,1,1,100.3,3541.4,0,1,0,0,0,0,37.0,1
8496-DMZUK,0,30,1,0,0,12,90.4,2820.65,0,0,1,0,0,0,2.5,1
8879-XUAHX,0,71,1,0,1,24,116.25,8564.75,0,1,1,0,1,0,2.9583333333333335,0
3642-BYHDO,0,71,0,2,0,24,19.9,1389.35,0,0,0,1,0,0,2.9583333333333335,0
7279-BUYWN,1,41,1,0,0,1,113.2,4689.5,1,1,1,0,1,0,41.0,0
5747-PMBSQ,1,10,0,0,1,1,92.5,934.1,1,1,0,0,0,0,10.0,1
2750-BJLSB,0,47,0,0,1,12,103.7,4730.6,0,1,0,0,1,0,3.9166666666666665,1
4692-NNQRU,0,21,0,0,1,12,79.2,1742.45,0,0,0,0,0,0,1.75,1
0023-UYUPN,1,50,1,2,0,12,25.2,1306.3,0,0,0,0,0,0,4.166666666666667,0
5181-OABFK,0,56,0,1,0,24,61.3,3346.8,0,0,1,1,0,0,2.3333333333333335,0
9412-GHEEC,0,40,1,0,1,1,104.8,4131.95,1,1,0,0,0,0,40.0,1
2320-SLKMB,0,26,0,1,1,1,44.45,1183.8,0,1,0,0,0,0,26.0,0
5906-DVAPM,0,55,1,1,1,12,75.0,4213.9,0,1,0,1,0,0,4.583333333333333,1
3320-VEOYC,1,14,1,0,0,1,95.6,1273.3,0,1,0,0,1,0,14.0,1
0678-RLHVP,0,53,1,0,0,24,105.55,5682.25,0,1,0,0,0,0,2.2083333333333335,1
4391-RESHN,0,23,1,0,1,1,104.05,2470.1,1,1,0,0,0,0,23.0,1
2672-DZUOY,0,1,0,1,0,1,25.15,25.15,1,0,0,0,1,0,1.0,0
7873-CVMAW,0,72,1,1,1,24,88.55,6362.35,0,1,1,0,0,0,3.0,1
3312-ZWLGF,1,29,1,0,1,1,79.3,2414.55,0,0,0,0,1,0,29.0,1
6227-HWPWX,0,15,0,0,0,1,69.0,994.8,1,0,0,0,0,0,15.0,0
8871-JLMHM,0,68,1,0,1,24,90.2,6297.65,0,0,0,0,0,0,2.8333333333333335,1
4573-JKNAE,0,12,0,2,0,24,19.35,212.3,0,0,0,0,0,0,0.5,0
4195-PNGZS,0,69,1,2,0,24,24.45,1718.2,0,0,0,1,0,0,2.875,0
6212-ATMLK,0,50,1,0,0,1,95.7,4729.75,0,1,0,0,1,0,50.0,1
2478-EEWWM,0,59,0,1,0,1,44.3,2666.75,0,1,0,0,1,0,59.0,0
7779-ORAEL,1,45,1,1,1,24,75.15,3480.35,0,1,0,0,0,0,1.875,1
4918-QLLIW,0,3,0,1,0,1,53.4,188.7,1,1,0,0,0,0,3.0,0
6691-CCIHA,0,62,1,1,1,24,84.95,5150.55,0,1,0,0,1,0,2.5833333333333335,1
1319-YLZJG,0,12,0,0,0,1,84.6,959.9,0,0,1,0,1,0,12.0,1
1956-YIFGE,0,22,0,0,0,12,100.05,2090.25,0,1,0,1,0,0,1.8333333333333333,1
1895-QTKDO,0,1,0,1,0,1,43.95,43.95,0,0,0,0,0,0,1.0,0
6689-TCZHQ,1,5,0,0,0,1,78.95,378.4,1,1,0,0,0,0,5.0,1
3750-YHRYO,0,7,0,2,0,12,20.65,150.0,0,0,0,1,0,0,0.5833333333333334,0
1251-KRREG,0,2,1,1,0,1,54.4,114.1,1,0,0,0,0,0,2.0,0
3969-GYXEL,0,11,0,0,0,1,76.4,838.7,0,0,0,0,0,0,11.0,1
1436-ZMJAN,0,10,0,1,0,1,67.8,653.15,0,1,0,0,0,0,10.0,0
8374-UULRV,0,72,1,1,1,24,86.05,6309.65,0,1,0,0,0,0,3.0,1
7293-LSCDV,0,60,0,2,0,24,19.25,1103.25,0,0,0,1,0,0,2.5,0
6204-IEUXJ,0,3,0,0,1,1,80.1,217.55,1,0,0,0,0,0,3.0,1
3649-JPUGY,0,72,1,1,1,24,88.6,6201.95,0,1,0,0,0,0,3.0,1
3039-MJSLN,0,3,0,2,0,1,20.2,50.6,0,0,0,0,0,0,3.0,0
5266-PFRQK,0,52,0,2,0,12,20.85,1071.6,0,0,0,1,0,0,4.333333333333333,0
9029-FEGVJ,1,32,1,0,0,1,79.3,2570.0,0,0,0,0,0,0,32.0,1
9648-BCHKM,0,18,1,2,0,24,24.65,471.35,0,0,0,1,0,0,0.75,0
2969-VAPYH,0,67,0,1,1,12,60.5,3870.0,0,0,0,0,0,0,5.583333333333333,0
2868-SNELZ,0,2,1,0,0,1,80.6,155.8,1,0,0,0,0,0,2.0,1
2749-CTKAJ,0,22,0,2,0,12,20.15,419.9,0,0,0,1,0,0,1.8333333333333333,0
6131-JLWZM,0,13,0,2,0,1,20.3,275.4,0,0,0,0,0,0,13.0,0
9695-IDRZR,0,34,1,0,1,24,116.15,3946.9,0,1,1,0,0,0,1.4166666666666667,0
2581-VKIRT,0,59,1,1,1,12,65.5,3801.3,0,0,0,1,0,0,4.916666666666667,0
9541-PWTWO,0,52,1,1,1,24,80.95,4233.95,0,1,0,0,0,0,2.1666666666666665,1
7382-DFJTU,0,18,0,1,1,1,55.2,1058.1,0,0,0,0,0,0,18.0,0
2621-UDNLU,0,3,0,2,0,1,20.85,72.0,0,0,0,0,0,0,3.0,0
5762-TJXGK,0,52,0,1,0,24,58.75,3038.55,0,1,1,0,0,0,2.1666666666666665,0
6235-VDHOM,1,5,0,1,0,1,28.45,131.05,1,0,0,0,0,0,5.0,0
6368-NWMCE,0,38,1,1,1,1,68.15,2656.3,0,1,0,0,0,0,38.0,0
9614-RMGHA,0,65,1,0,0,1,91.85,5940.85,1,1,0,0,0,0,65.0,1
3097-NQYSN,1,2,1,0,0,1,86.85,156.35,1,1,0,0,0,0,2.0,1
3520-FJGCV,0,72,1,0,1,24,112.6,8126.65,0,1,1,1,0,1,3.0,0
2675-DHUTR,1,58,1,0,0,1,98.9,5780.7,0,1,0,0,1,0,58.0,1
6925-BAYGL,1,53,1,2,0,24,25.1,1275.6,0,0,0,0,0,0,2.2083333333333335,0
7427-AUFPY,0,54,0,2,0,24,19.65,1008.7,0,0,0,0,0,0,2.25,0
9420-LOJKX,0,15,0,0,0,1,99.1,1426.4,1,1,0,0,0,0,15.0,1
4307-KWMXE,0,10,0,1,1,1,35.75,389.8,0,0,0,0,0,0,10.0,0
0386-CWRGM,0,46,0,2,0,24,19.4,967.85,0,0,0,1,0,0,1.9166666666666667,0
8017-LXHFA,1,23,0,0,0,1,94.75,2293.6,1,1,0,0,1,0,23.0,1
0238-WHBIQ,0,72,1,1,1,24,89.7,6339.3,0,1,1,1,0,1,3.0,1
1960-UOTYM,0,52,0,1,0,24,79.2,4016.3,0,1,1,1,0,1,2.1666666666666665,1
5327-XOKKY,1,72,1,1,0,24,73.45,5329.0,0,1,0,0,0,0,3.0,1
5278-PNYOX,0,49,0,0,1,24,100.65,4917.75,0,1,0,0,0,0,2.0416666666666665,1
4849-PYRLQ,1,56,1,1,1,24,73.25,4054.2,0,1,0,0,0,0,2.3333333333333335,1
8336-TAVKX,1,72,1,1,1,24,78.45,5682.25,0,1,1,0,0,0,3.0,1
2656-TABEH,0,4,1,0,0,1,100.2,420.2,1,1,0,0,1,0,4.0,1
6770-UAYGJ,0,49,1,2,0,24,25.25,1211.65,0,0,0,1,0,0,2.0416666666666665,0
9081-WWXKP,0,47,0,2,0,24,20.25,873.4,0,0,0,1,0,0,1.9583333333333333,0
7551-JOHTI,0,1,0,2,0,1,19.5,19.5,1,0,0,0,0,0,1.0,0
6615-ZGEDR,0,1,0,2,0,1,19.7,19.7,1,0,0,0,0,0,1.0,0
5975-BAICR,0,36,0,1,0,12,63.7,2188.5,0,1,0,1,0,0,3.0,0
6198-RTPMF,0,17,1,0,0,1,92.6,1579.7,0,1,0,0,0,0,17.0,1
4897-QSUYC,0,1,0,2,0,1,20.15,20.15,1,0,0,0,0,0,1.0,0
6773-LQTVT,1,29,0,1,0,1,35.65,1025.15,0,0,0,1,0,0,29.0,0
8785-EPNCG,0,11,1,2,0,1,23.15,245.2,1,0,0,0,0,0,11.0,0
9800-ONTFE,0,22,1,0,0,1,75.8,1615.1,0,0,0,1,0,0,22.0,1
1346-PJWTK,0,61,0,0,1,1,94.15,5731.85,0,1,0,0,0,0,61.0,1
3871-IKPYH,1,1,0,0,0,1,69.1,69.1,1,0,0,0,0,0,1.0,0
3243-ZHOHY,0,16,0,2,0,12,20.1,296.15,0,0,0,0,0,0,1.3333333333333333,0
0203-HHYIJ,0,25,1,2,0,12,25.3,676.35,1,0,0,0,0,0,2.0833333333333335,0
3079-BCHLN,0,47,0,2,0,12,19.9,942.95,0,0,0,0,0,0,3.9166666666666665,0
1459-QNFQT,0,70,0,1,1,24,59.5,4144.8,0,1,0,1,0,0,2.9166666666666665,0
9191-MYQKX,0,7,0,0,0,1,75.15,496.9,1,0,0,0,0,0,7.0,1
0003-MKNFE,0,9,1,1,0,1,59.9,542.4,0,1,0,0,0,0,9.0,0
8634-MPHTR,1,47,1,0,0,1,100.05,4871.05,1,1,0,0,1,0,47.0,1
5692-FPTAH,0,1,0,1,0,1,45.4,45.4,1,0,0,0,0,0,1.0,0
0697-ZMSWS,0,4,1,0,0,1,85.65,338.9,1,1,0,0,1,0,4.0,1
2038-LLMLM,0,48,1,0,1,1,103.85,4946.05,0,1,0,0,1,0,48.0,1
9142-XMYJH,0,29,0,2,0,1,19.35,601.6,0,0,0,0,0,0,29.0,0
5707-ORNDZ,1,9,1,1,0,1,54.55,494.05,1,0,0,0,0,0,9.0,0
9028-LIHRP,0,71,0,0,1,24,100.2,7209.0,0,1,1,1,0,1,2.9583333333333335,1
6128-CZOMY,0,1,0,1,0,1,45.65,45.65,1,0,0,0,1,0,1.0,0
4817-VYYWS,0,30,1,0,0,1,100.2,2983.8,1,1,0,0,1,0,30.0,1
2203-GHNWN,0,24,1,0,0,1,79.65,1928.7,0,0,0,0,0,0,24.0,1
7860-UXCRM,0,63,0,1,1,24,74.5,4674.55,0,1,1,1,0,1,2.625,1
5537-UXXVS,0,20,0,2,0,1,19.25,375.25,0,0,0,0,0,0,20.0,0
5760-FXFVO,0,6,0,0,0,1,78.95,494.95,0,0,0,0,1,0,6.0,1
5222-JCXZT,0,4,0,2,0,1,19.0,78.9,0,0,0,0,0,0,4.0,0
0637-KVDLV,0,2,1,0,0,1,76.5,162.45,1,0,0,0,1,0,2.0,1
4695-WJZUE,1,2,1,0,0,1,88.55,179.25,1,1,0,0,1,0,2.0,1
2307-FYNNL,1,65,1,0,1,24,109.05,7108.2,0,1,0,0,1,0,2.7083333333333335,1
7549-MYGPK,0,63,1,0,0,1,100.55,6215.35,1,1,1,1,1,1,63.0,1
8945-MUQUF,0,51,1,0,0,12,94.8,4837.6,1,1,0,0,1,0,4.25,1
5136-KCKGI,0,33,1,0,0,12,103.7,3467.0,1,1,0,1,0,0,2.75,1
5651-CPDND,0,10,0,1,0,1,46.0,492.1,0,0,0,0,0,0,10.0,0
9769-TSBZE,0,70,1,1,1,24,66.0,4891.5,0,0,0,0,0,0,2.9166666666666665,0
3261-CQXOL,0,71,1,2,0,24,25.45,1813.35,0,0,0,1,0,0,2.9583333333333335,0
4298-OYIFC,0,15,1,0,1,1,103.45,1539.8,0,1,0,0,1,0,15.0,1
6583-QGCSI,1,50,1,0,0,1,88.05,4367.35,1,1,0,0,1,0,50.0,1
9968-FFVVH,0,63,1,1,1,12,68.8,4111.35,0,0,1,0,0,0,5.25,0
2545-EBUPK,1,2,1,0,0,1,84.05,186.05,0,1,0,0,1,0,2.0,1
8565-WUXZU,1,72,0,0,1,24,84.8,6141.65,0,0,0,0,0,0,3.0,1
9094-AZPHK,0,15,1,0,0,1,100.15,1415.0,0,1,0,0,1,0,15.0,1
2049-BAFNW,0,1,0,1,1,1,35.9,35.9,0,0,0,0,0,0,1.0,0
1986-PHGZF,1,18,1,1,0,1,58.4,964.9,0,0,0,0,0,0,18.0,0
3946-MHCZW,0,1,0,1,0,1,50.9,50.9,1,0,0,0,0,0,1.0,0
0848-ZGQIJ,0,16,0,0,0,1,94.65,1461.15,0,1,0,0,0,0,16.0,1
7377-DMMRI,0,2,0,1,0,1,47.8,92.45,1,0,0,0,1,0,2.0,0
9500-IWPXQ,0,61,1,1,1,12,79.4,4820.55,0,1,1,1,1,1,5.083333333333333,1
9732-KPKBW,0,1,0,1,1,1,53.95,53.95,1,0,0,0,1,0,1.0,0
5562-BETPV,0,1,0,2,0,12,19.65,19.65,0,0,0,1,0,0,0.08333333333333333,0
4703-MQYKT,0,21,0,2,0,24,19.6,390.4,0,0,0,0,0,0,0.875,0
7636-XUHWW,0,2,0,2,0,1,19.9,33.7,0,0,0,0,0,0,2.0,0
6344-SFJVH,0,20,0,1,0,1,24.9,505.95,0,0,0,0,0,0,20.0,0
6851-WEFYX,1,35,1,0,0,1,100.8,3437.5,0,1,0,0,1,0,35.0,1
6627-CFOSN,0,59,1,0,0,1,99.45,5623.7,0,1,1,0,0,0,59.0,1
9227-YBAXE,0,65,1,1,1,24,82.5,5215.1,0,1,0,1,0,0,2.7083333333333335,1
0148-DCDOS,0,25,1,0,0,1,94.7,2362.1,1,1,0,0,0,0,25.0,1
6784-XYJAE,0,36,1,1,0,12,55.8,1941.5,0,0,0,0,0,0,3.0,0
0661-KQHNK,0,6,0,2,0,12,19.0,105.5,0,0,0,1,0,0,0.5,0
0754-EEBDC,0,4,0,2,0,24,19.9,76.65,0,0,0,1,0,0,0.16666666666666666,0
8133-ANHHJ,1,49,1,0,1,12,103.0,5166.2,0,1,1,0,0,0,4.083333333333333,1
0508-SQWPL,0,57,0,2,0,24,20.1,1087.7,0,0,0,1,0,0,2.375,0
4360-PNRQB,0,18,1,0,0,1,75.6,1395.05,0,0,0,0,0,0,18.0,1
7502-BNYGS,0,46,0,1,0,1,69.1,3168.0,0,1,0,0,0,0,46.0,0
5349-AZPEW,0,5,0,1,0,1,25.05,125.5,0,0,0,1,0,0,5.0,0
5868-YTYKS,0,1,0,2,0,1,20.25,20.25,0,0,0,0,0,0,1.0,0
1116-DXXDF,0,39,0,0,0,24,100.45,3801.7,0,1,0,0,1,0,1.625,1
5276-KQWHG,1,2,0,0,0,1,69.6,131.65,1,0,0,0,1,0,2.0,0
0788-DXBFY,0,58,0,2,0,12,19.55,1108.8,0,0,0,1,1,0,4.833333333333333,0
8395-ETZKQ,1,68,0,2,0,12,19.5,1193.55,0,0,0,1,0,0,5.666666666666667,0
5985-TBABQ,0,32,1,1,0,12,74.75,2282.95,0,1,0,0,0,0,2.6666666666666665,1
2080-SRCDE,0,1,1,2,0,1,25.4,25.4,0,0,0,0,0,0,1.0,0
8204-TIFGJ,0,23,0,2,0,1,20.3,470.6,0,0,0,0,0,0,23.0,0
2135-RXIHG,0,1,0,1,0,1,45.65,45.65,1,0,0,0,1,0,1.0,0
7354-OIJLX,0,9,1,0,0,1,75.85,724.65,0,0,0,0,1,0,9.0,1
4020-KIUDI,0,6,0,2,0,1,19.85,138.85,0,0,0,1,0,0,6.0,0
3815-SLMEF,0,3,0,1,1,1,34.25,139.35,1,0,0,0,0,0,3.0,0
0336-PIKEI,1,72,0,1,1,24,74.4,5360.75,0,1,1,0,0,0,3.0,1
5465-BUBFA,0,41,0,2,0,24,19.3,772.4,0,0,0,1,0,0,1.7083333333333333,0
8402-EIVQS,0,67,0,0,0,12,100.9,6733.15,0,1,0,0,0,0,5.583333333333333,1
8008-OTEZX,0,35,0,2,0,12,19.65,708.8,0,0,0,1,0,0,2.9166666666666665,0
8734-FNWVH,0,31,1,1,0,1,59.7,1825.5,0,1,0,1,0,0,31.0,0
5797-APWZC,0,1,0,0,0,1,90.6,90.6,1,1,0,0,0,0,1.0,1
5914-GXMDA,0,32,0,2,0,12,19.3,593.2,0,0,0,0,0,0,2.6666666666666665,0
4013-UBXWQ,0,7,1,1,1,1,74.65,521.1,1,1,0,0,1,0,7.0,1
2115-BFTIW,0,25,0,0,0,1,70.95,1767.35,1,0,0,0,0,0,25.0,1
1575-KRZZE,0,4,0,1,0,1,55.2,220.65,0,0,0,0,0,0,4.0,0
4056-QHXHZ,0,72,1,0,1,24,107.45,7576.7,0,1,0,1,0,0,3.0,1
1431-AIDJQ,0,33,0,1,1,24,82.1,2603.1,0,1,0,1,0,0,1.375,1
1820-TQVEV,0,1,0,0,0,1,69.55,69.55,1,0,0,0,1,0,1.0,0
8361-LTMKD,1,4,1,0,0,1,74.4,306.6,1,0,0,0,0,0,4.0,1
0746-JTRFU,0,2,0,1,0,1,25.05,56.35,1,0,0,0,1,0,2.0,0
4915-BFSXL,0,70,1,1,0,24,68.95,4858.7,0,1,0,1,0,0,2.9166666666666665,0
2277-AXSDC,0,32,0,2,0,12,19.75,624.15,0,0,0,0,0,0,2.6666666666666665,0
4945-RVMTE,0,28,0,1,0,1,59.55,1646.45,0,1,0,0,0,0,28.0,0
3714-NTNFO,0,49,1,0,0,1,84.5,3906.7,0,1,0,0,1,0,49.0,1
6010-DDPPW,0,70,1,2,0,24,25.15,1940.85,0,0,0,0,0,0,2.9166666666666665,0
3521-SYVOR,0,37,0,1,0,1,64.75,2345.2,1,1,0,0,1,0,37.0,0
6837-HAEVO,0,69,1,0,0,24,105.0,7297.75,0,1,0,1,1,0,2.875,1
1816-FLZDK,0,1,0,1,1,1,29.15,29.15,0,0,0,0,0,0,1.0,0
2770-NSVDG,0,24,0,1,0,1,29.1,688.0,0,0,0,0,0,0,24.0,0
7880-XSOJX,0,4,0,1,1,1,42.4,146.4,0,0,0,0,0,0,4.0,0
6435-SRWBJ,0,5,1,0,1,1,82.75,417.75,0,0,0,0,1,0,5.0,1
8981-FJGLA,0,11,1,0,0,1,78.0,851.8,0,0,0,0,0,0,11.0,1
7008-LZVOZ,0,66,1,2,0,24,25.3,1672.35,0,0,0,1,0,0,2.75,0
5712-PTIWW,0,2,0,0,1,1,79.85,152.45,1,0,0,0,1,0,2.0,1
6457-USBER,0,1,0,0,0,1,80.8,80.8,1,1,0,0,1,0,1.0,1
2858-EIMXH,1,53,1,0,0,12,95.85,5016.25,0,1,0,0,0,0,4.416666666666667,1
8812-ZRHFP,0,30,0,0,0,12,86.45,2538.05,0,1,0,1,0,0,2.5,1
9907-SWKKF,1,1,0,1,0,1,25.05,25.05,1,0,0,0,0,0,1.0,0
2272-UOINI,0,7,0,1,1,1,78.5,571.05,0,1,0,0,1,0,7.0,1
3165-HDOEW,0,1,0,1,0,1,45.85,45.85,1,0,0,1,0,0,1.0,0
0345-XMMUG,0,46,1,0,1,24,108.9,4854.3,0,1,0,0,0,0,1.9166666666666667,1
6048-QBXKL,1,2,1,1,0,1,56.55,118.25,0,0,0,0,0,0,2.0,0
7206-PQBBZ,1,11,0,0,0,1,70.2,834.7,0,0,0,0,1,0,11.0,1
4712-UYOOI,0,20,0,2,0,1,20.0,417.65,0,0,0,1,0,0,20.0,0
5118-MUEYH,0,48,1,0,1,1,105.1,5083.55,0,1,0,0,0,0,48.0,1
9128-CPXKI,0,59,0,0,0,24,95.8,5655.45,0,1,0,0,0,0,2.4583333333333335,1
7901-TBKJX,1,56,1,0,0,1,101.05,5594.0,0,1,0,0,1,0,56.0,1
7173-TETGO,1,72,1,0,0,24,78.5,5602.25,0,0,0,0,0,0,3.0,1
1104-TNLZA,1,28,1,0,1,1,105.8,2998.0,0,1,0,0,1,0,28.0,1
7268-WNTCP,0,62,0,2,0,24,20.45,1297.35,0,0,0,1,0,0,2.5833333333333335,0
1087-GRUYI,0,38,0,2,0,24,20.4,743.5,0,0,0,0,0,0,1.5833333333333333,0
9909-IDLEK,0,20,1,0,1,1,96.8,1826.7,0,1,0,1,0,0,20.0,1
1226-IENZN,1,16,0,0,0,1,78.75,1218.25,0,1,0,0,1,0,16.0,1
4480-QQRHC,1,8,0,0,0,1,74.05,600.15,0,0,0,0,0,0,8.0,1
6022-KOUQO,0,2,0,1,1,1,29.05,44.75,0,0,0,1,0,0,2.0,0
7874-ECPQJ,0,4,0,2,0,1,20.05,85.5,0,0,0,0,0,0,4.0,0
9940-RHLFB,0,1,0,0,0,1,75.3,75.3,1,0,0,0,0,0,1.0,1
4859-ZSRDZ,0,58,0,1,1,24,55.5,3166.9,0,1,0,1,0,0,2.4166666666666665,0
0946-CLJTI,1,58,1,0,0,1,98.7,5812.6,1,1,0,0,1,0,58.0,1
1583-IHQZE,0,12,1,0,1,1,112.95,1384.75,1,1,0,0,0,0,12.0,0
9554-DFKIC,0,30,1,1,0,1,54.45,1588.7,0,0,0,1,0,0,30.0,0
4612-THJBS,1,56,1,0,0,12,104.75,5510.65,1,1,0,0,0,0,4.666666666666667,1
6856-RAURS,0,2,1,0,0,1,74.9,136.05,0,0,0,0,0,0,2.0,1
3094-JOJAI,0,18,1,0,0,1,74.15,1387.0,0,0,0,0,0,0,18.0,1
9167-APMXZ,0,22,1,0,0,1,84.15,1821.95,0,1,0,0,0,0,22.0,1
7594-RQHXR,0,1,0,0,0,1,79.6,79.6,1,1,0,0,1,0,1.0,1
2215-ZAFGX,0,9,1,0,0,1,85.5,791.7,0,1,0,0,1,0,9.0,1
8532-UEFWH,0,52,1,2,0,24,25.75,1345.85,0,0,0,1,0,0,2.1666666666666665,0
9174-IHETN,0,50,0,0,0,24,70.35,3533.6,0,0,0,0,0,0,2.0833333333333335,1
2801-NISEI,0,24,0,1,1,1,54.95,1348.5,0,0,0,0,0,0,24.0,0
4676-WLUHT,0,54,0,1,0,24,46.2,2431.95,0,1,0,0,0,0,2.25,0
4959-JOSRX,0,2,0,1,0,1,44.6,80.55,1,0,0,0,0,0,2.0,0
4583-PARNH,1,16,0,0,1,1,91.55,1540.05,0,1,0,0,1,0,16.0,1
4080-OGPJL,0,8,1,1,1,1,71.15,563.65,1,1,0,0,0,0,8.0,1
4007-NHVHI,1,56,1,0,0,1,96.85,5219.65,0,1,0,0,1,0,56.0,1
6728-WYQBC,0,1,0,2,0,1,20.95,20.95,0,0,0,0,0,0,1.0,0
8270-RKSAP,0,9,0,0,0,1,70.5,597.9,0,0,0,0,1,0,9.0,1
7850-THJMU,0,26,0,2,0,24,19.65,494.9,0,0,0,1,0,0,1.0833333333333333,0
1965-AKTSX,1,14,1,0,0,1,78.95,1101.85,1,0,0,0,1,0,14.0,1
0130-SXOUN,0,66,1,0,0,1,89.4,5976.9,0,1,0,0,0,0,66.0,1
