customerID,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0899-WZRSD,0,1,1,56,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,1,1,0,105.35,5794.45,0.0
6817-WTYHE,0,1,1,2,No,DSL,No,No,No,No,No,No,1,0,0,44.9,111.05,0.0
4134-BSXLX,0,0,1,28,No,DSL,Yes,Yes,No,Yes,No,No,1,0,0,60.9,1785.65,0.0
4282-MSACW,0,1,1,68,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,12,1,0,117.2,8035.95,0.0
5829-NVSQN,0,0,1,23,No,DSL,Yes,No,Yes,Yes,No,Yes,12,1,0,68.75,1689.45,0.0
8199-ZLLSA,0,1,1,67,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,12,1,0,118.35,7804.15,1.0
8543-MSDMF,0,1,1,3,No,DSL,Yes,No,Yes,No,Yes,Yes,1,1,1,77.4,206.15,0.0
7674-YTAFD,0,1,1,33,No,Fiber optic,No,Yes,No,Yes,No,No,12,1,0,79.95,2684.85,0.0
8069-YQQAJ,0,1,1,14,No phone service,DSL,No,Yes,No,No,No,No,1,1,0,31.1,419.7,0.0
3301-LSLWQ,0,1,1,29,Yes,DSL,Yes,No,No,No,No,Yes,1,1,1,66.1,1912.15,0.0
1452-VOQCH,0,1,1,1,Yes,Fiber optic,No,No,No,No,No,No,1,1,1,75.1,75.1,0.0
1545-ACTAS,0,0,0,48,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,12,1,0,99.7,4977.2,0.0
6463-HHXJR,0,0,0,71,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,24,0,0,100.5,7030.65,0.0
4883-KCPZJ,0,0,0,22,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,25.25,555.4,0.0
5214-NLTIT,0,0,0,72,Yes,Fiber optic,No,No,Yes,No,No,Yes,24,1,0,90.8,6511.8,0.0
5465-BUBFA,0,0,0,41,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,19.3,772.4,0.0
8182-BJDSI,0,1,1,28,Yes,Fiber optic,No,Yes,No,No,No,Yes,1,1,1,89.95,2625.55,1.0
5651-CPDND,0,1,1,10,No,DSL,No,No,No,No,No,No,1,0,0,46.0,492.1,0.0
5134-IKDAY,0,0,0,1,No,Fiber optic,No,No,No,No,No,No,1,1,1,69.8,69.8,1.0
2577-GVSIL,0,0,0,35,Yes,DSL,No,No,No,Yes,Yes,Yes,12,1,0,73.45,2661.1,0.0
6586-MYGKD,0,0,1,70,Yes,DSL,Yes,No,No,Yes,Yes,Yes,24,1,0,76.95,5289.8,0.0
4439-YRNVD,0,1,1,10,No phone service,DSL,No,Yes,No,Yes,No,No,1,0,1,36.25,374.0,0.0
3050-GBUSH,0,1,1,3,No phone service,DSL,No,No,No,No,Yes,No,1,1,0,34.8,113.95,0.0
0195-IESCP,0,0,1,10,Yes,Fiber optic,No,No,No,No,No,Yes,1,1,1,85.25,855.3,1.0
9572-MTILT,0,0,1,59,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,1,1,1,106.75,6252.9,1.0
2560-WBWXF,0,1,1,68,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,1,0,24.15,1498.85,0.0
2499-AJYUA,1,0,1,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,24,1,0,110.8,7882.25,0.0
3720-DBRWL,0,0,1,51,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,24,1,0,83.85,4307.1,0.0
0042-RLHYP,0,0,0,69,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,19.7,1396.9,0.0
3714-XPXBW,0,1,1,37,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,1,1,0,78.9,2976.95,0.0
8974-OVACP,0,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,20.15,20.15,0.0
7503-ZGUZJ,0,1,1,1,Yes,Fiber optic,No,No,No,No,Yes,No,1,1,0,84.65,84.65,1.0
8267-KFGYD,0,1,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,1,0,21.05,21.05,0.0
7740-KKCXF,0,0,1,51,No phone service,DSL,No,Yes,No,No,No,No,1,1,0,30.05,1529.45,0.0
4060-LDNLU,0,1,1,7,Yes,Fiber optic,No,No,No,No,Yes,Yes,1,0,1,96.2,639.7,0.0
0577-WHMEV,0,0,1,16,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,1,0,1,90.7,1374.9,0.0
3217-FZDMN,1,1,1,8,No,Fiber optic,No,No,Yes,No,Yes,Yes,1,1,0,94.45,742.95,1.0
9099-FTUHS,0,1,1,23,Yes,DSL,Yes,No,No,No,No,No,1,0,1,54.4,1249.25,0.0
9489-JMTTN,0,0,0,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,24,0,0,89.75,6595.9,0.0
4808-YNLEU,0,0,1,35,No,DSL,Yes,No,No,No,Yes,No,12,1,0,62.15,2215.45,0.0
0708-LGSMF,0,0,1,13,Yes,DSL,Yes,No,No,No,No,Yes,1,1,1,65.85,902.25,0.0
6465-GSRCL,0,1,0,67,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,12,1,0,106.6,7244.7,0.0
7721-DVEKZ,0,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,19.65,19.65,0.0
2107-FBPTK,1,1,1,30,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1,1,1,104.1,3121.1,0.0
6048-NJXHX,0,0,1,41,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,1,1,19.75,899.45,0.0
8263-QMNTJ,0,0,1,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,24,1,1,115.55,8425.3,0.0
6350-XFYGW,1,1,1,4,No,Fiber optic,No,No,Yes,No,Yes,Yes,1,1,1,94.75,422.4,0.0
1625-JAIIY,0,0,0,68,Yes,Fiber optic,No,No,No,No,Yes,No,12,1,1,83.0,5685.8,1.0
1552-AAGRX,0,1,1,30,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,1,0,0,106.4,3211.9,0.0
2884-GBPFB,0,0,1,35,No,Fiber optic,No,No,No,No,No,No,1,1,1,70.3,2416.55,1.0
7636-XUHWW,0,1,1,2,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,1,0,19.9,33.7,0.0
4829-ZLJTK,1,0,1,72,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,24,1,1,112.4,8046.85,0.0
3398-FSHON,1,1,1,12,Yes,Fiber optic,No,Yes,No,No,Yes,No,1,1,1,91.3,1094.5,1.0
2688-BHGOG,1,1,1,9,No,Fiber optic,No,No,No,No,No,Yes,1,1,1,79.55,718.55,0.0
4078-SAYYN,0,1,1,11,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1,1,1,100.75,1129.75,1.0
6331-EWIEB,0,1,1,20,Yes,Fiber optic,No,No,No,No,Yes,No,1,1,1,85.25,1734.5,1.0
2990-HWIML,0,1,1,6,No,Fiber optic,No,No,No,No,Yes,Yes,1,1,1,89.5,573.3,1.0
6072-NUQCB,0,0,0,22,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,0,0,20.25,488.25,0.0
1024-KPRBB,0,1,1,38,No,Fiber optic,No,No,No,No,Yes,Yes,12,1,0,89.1,3342.0,0.0
5793-YOLJN,0,0,0,55,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,21.0,1210.3,0.0
7389-KBFIT,0,0,0,2,No phone service,DSL,No,Yes,No,No,No,No,1,1,0,30.25,63.75,0.0
4897-QSUYC,0,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,1,0,20.15,20.15,1.0
1465-VINDH,0,0,0,10,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1,1,0,102.1,1068.85,1.0
2049-BAFNW,0,1,1,1,No phone service,DSL,No,No,Yes,Yes,No,No,1,0,0,35.9,35.9,0.0
5619-PTMIK,0,0,1,46,Yes,DSL,Yes,No,No,No,No,No,1,0,1,53.1,2459.8,0.0
8465-SBRXP,0,0,0,38,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,24,1,0,94.9,3616.25,0.0
6180-YBIQI,0,1,1,5,No phone service,DSL,No,No,No,No,No,No,1,0,0,24.3,100.2,0.0
2272-UOINI,0,1,1,7,No,DSL,Yes,Yes,No,Yes,Yes,Yes,1,1,1,78.5,571.05,0.0
7351-MHQVU,0,1,1,6,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,1,0,0,50.95,307.6,0.0
5707-ORNDZ,1,1,1,9,Yes,DSL,Yes,No,No,No,No,No,1,0,1,54.55,494.05,1.0
0947-IDHRQ,0,1,1,7,No,Fiber optic,No,No,No,No,Yes,No,1,1,0,80.3,526.7,1.0
3212-KXOCR,0,1,1,52,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,21.0,1107.2,0.0
9746-YKGXB,0,0,0,52,No phone service,DSL,Yes,No,Yes,No,No,Yes,12,0,0,44.25,2276.1,0.0
7234-FECYN,1,1,1,8,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1,0,1,101.35,780.5,1.0
5650-VDUDS,0,1,1,4,No phone service,DSL,No,No,No,No,No,No,1,1,0,24.25,96.05,1.0
5248-RPYWW,1,0,0,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,24,1,0,90.15,6716.45,0.0
6727-IOTLZ,0,0,1,14,No,DSL,No,Yes,Yes,Yes,Yes,Yes,24,0,0,81.95,1181.75,0.0
9644-KVCNC,0,1,1,66,Yes,Fiber optic,No,No,Yes,No,Yes,No,12,1,0,92.15,6056.9,0.0
8677-HDZEE,0,1,1,56,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,1,1,0,105.45,5916.95,0.0
4452-QIIEB,0,1,1,7,No,DSL,No,No,No,No,No,No,1,0,0,43.9,278.4,0.0
2404-JIBFC,0,0,0,55,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,24,1,0,85.1,4657.95,0.0
8606-OEGQZ,0,1,0,18,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,25.3,454.65,0.0
2720-WGKHP,1,1,1,2,Yes,Fiber optic,No,No,No,No,Yes,Yes,1,1,1,94.0,181.7,1.0
6362-QHAFM,0,0,1,42,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,12,1,1,108.3,4586.15,0.0
5895-QSXOD,0,1,1,9,No,Fiber optic,No,No,No,No,No,No,1,0,0,70.05,657.5,0.0
0347-UBKUZ,0,1,1,15,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,19.9,320.45,0.0
6233-HXJMX,0,1,1,45,Yes,Fiber optic,No,No,Yes,No,No,Yes,1,1,0,89.3,4192.15,0.0
3055-OYMSE,1,1,1,53,No,Fiber optic,No,Yes,No,No,No,No,1,1,0,73.8,4003.85,0.0
9026-RNUJS,1,1,1,5,No,DSL,No,No,Yes,No,No,No,1,0,1,50.35,237.25,1.0
7673-BQGKU,0,0,0,69,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,20.15,1337.5,0.0
1580-BMCMR,1,1,1,19,No,Fiber optic,Yes,No,No,No,No,Yes,1,1,1,87.3,1637.3,0.0
8630-FJLIB,0,1,1,18,No,Fiber optic,No,No,No,No,No,No,1,1,1,69.8,1221.65,0.0
6369-MCAKO,0,0,0,68,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,24,1,0,89.05,6185.8,0.0
3714-JTVOV,1,0,1,42,No,Fiber optic,Yes,No,No,No,No,No,1,1,0,74.15,3229.4,1.0
6620-HVDUJ,0,1,1,24,No,DSL,Yes,Yes,No,Yes,No,No,1,0,0,60.45,1440.75,0.0
9821-POOTN,0,0,1,35,Yes,Fiber optic,No,No,No,No,No,No,1,1,1,75.2,2576.2,1.0
3946-JEWRQ,0,0,1,47,Yes,Fiber optic,No,No,No,No,Yes,Yes,12,1,0,95.2,4563.0,0.0
2565-JSLRY,0,1,1,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,1,0,24.05,24.05,1.0
2379-GYFLQ,0,1,1,46,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,12,1,0,94.9,4422.95,0.0
0973-KYVNF,0,0,0,72,No,DSL,Yes,Yes,Yes,No,Yes,No,24,1,0,70.65,5011.15,0.0
9681-KYGYB,1,0,1,49,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,1,1,1,88.2,4159.45,0.0
7030-FZTFM,0,0,0,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,24,0,0,110.9,7922.75,0.0
6689-KXGBO,0,1,1,1,No,DSL,No,Yes,No,No,No,No,1,0,1,50.55,50.55,1.0
2472-OVKUP,0,0,1,6,No,Fiber optic,No,Yes,Yes,No,No,Yes,1,1,1,91.0,531.0,1.0
8194-PEEBY,0,0,0,24,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,0,0,19.9,533.5,0.0
8519-QJGJD,0,1,1,14,No,Fiber optic,No,No,Yes,No,No,No,1,0,1,75.35,1025.95,1.0
3468-DRVQJ,0,0,0,10,Yes,DSL,Yes,Yes,No,No,Yes,No,12,0,1,70.3,676.15,0.0
1237-WIYYZ,0,1,1,18,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,1,0,19.55,389.25,0.0
2530-ENDWQ,0,0,1,71,Yes,Fiber optic,No,No,No,No,Yes,Yes,24,1,0,93.7,6585.35,1.0
3500-RMZLT,1,1,1,15,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,1,1,0,96.3,1426.75,1.0
5130-IEKQT,1,1,1,25,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1,0,0,105.95,2655.25,1.0
1421-HCERK,1,0,1,30,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,1,1,0,105.7,3181.8,0.0
6513-EECDB,1,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,1,1,1,73.55,73.55,1.0
0071-NDAFP,0,0,0,25,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,0,0,25.5,630.6,0.0
3197-NNYNB,0,1,1,65,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,24,0,0,105.1,6631.85,0.0
7776-QWNFX,1,0,1,30,No,DSL,No,Yes,No,No,No,No,1,1,0,50.4,1527.5,1.0
9524-EGPJC,0,1,1,18,Yes,Fiber optic,No,No,No,Yes,No,Yes,1,1,1,90.1,1612.75,1.0
9057-MSWCO,1,0,1,27,No phone service,DSL,Yes,No,No,No,No,No,1,0,0,30.75,805.1,1.0
7241-AJHFS,0,1,1,32,Yes,Fiber optic,Yes,No,No,Yes,No,No,1,0,0,87.65,2766.4,0.0
4992-LTJNE,0,0,0,72,Yes,DSL,Yes,No,No,No,No,No,24,0,0,55.3,3983.6,0.0
1656-DRSMG,0,1,1,63,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1,1,0,109.85,7002.95,0.0
7421-ZLUPA,0,1,1,8,No phone service,DSL,No,Yes,No,No,No,No,1,1,0,29.25,226.95,0.0
4694-PHWFW,0,1,0,8,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,19.95,170.9,0.0
4795-UXVCJ,0,1,1,26,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,0,0,19.8,457.3,0.0
3398-ZOUAA,1,0,1,21,No,Fiber optic,No,No,No,No,No,No,1,1,1,69.1,1474.75,1.0
1196-AMORA,0,1,1,7,Yes,Fiber optic,No,No,No,No,No,No,1,0,1,73.6,520.0,1.0
4558-CGYCZ,0,1,1,4,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,19.75,78.3,0.0
4439-JMPMT,0,0,0,5,No,Fiber optic,No,No,No,Yes,Yes,No,1,1,1,85.75,470.95,1.0
9391-DXGGG,1,1,1,44,No,Fiber optic,No,Yes,Yes,No,No,Yes,12,0,0,89.15,3990.75,0.0
7722-VJRQD,0,0,0,72,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,24,0,0,60.95,4549.05,0.0
3097-NNSPB,0,1,1,2,No,DSL,No,Yes,No,No,No,No,1,1,0,49.05,91.1,1.0
