customerID,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3530-VWVGU,0,1,1,22,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,19.9,400.3,0.0
6967-PEJLL,0,1,1,37,No phone service,DSL,Yes,No,Yes,Yes,0,12,1,1,40.2,1525.35,0.0
4860-IJUDE,0,0,0,13,No,Fiber optic,Yes,No,No,No,0,1,1,0,73.75,956.65,0.0
0946-CLJTI,1,1,0,58,Yes,Fiber optic,No,No,Yes,No,0,1,1,1,98.7,5812.6,1.0
7164-BPTUT,0,0,1,57,Yes,DSL,Yes,Yes,Yes,Yes,0,24,0,0,89.55,5012.35,0.0
0237-YFUTL,0,1,0,50,Yes,Fiber optic,Yes,Yes,No,Yes,0,1,1,0,109.65,5405.8,0.0
4957-TIALW,0,0,1,15,No,DSL,Yes,Yes,Yes,Yes,0,12,0,0,65.6,1010.0,0.0
4702-IOQDC,0,0,0,1,No,Fiber optic,No,No,No,No,0,1,1,1,70.1,70.1,1.0
3470-OBUET,0,1,1,67,Yes,DSL,Yes,Yes,No,Yes,0,24,0,0,74.0,4868.4,0.0
7435-ZNUYY,0,0,0,6,No,No,No internet service,No internet service,No internet service,No internet service,1,12,0,0,20.6,116.6,0.0
7389-KBFIT,0,1,1,2,No phone service,DSL,No,Yes,No,No,0,1,1,0,30.25,63.75,0.0
7825-ECJRF,0,0,0,19,No,Fiber optic,Yes,No,Yes,Yes,0,1,1,1,106.6,1934.45,1.0
4658-HCOHW,0,1,1,21,No,Fiber optic,No,Yes,Yes,Yes,0,1,1,1,102.8,2110.15,1.0
1661-CZBAU,0,0,0,48,Yes,DSL,Yes,No,No,Yes,0,12,1,0,70.95,3629.2,0.0
5249-QYHEX,0,1,1,40,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,1,0,24.8,1024.7,0.0
7240-FQLHE,1,1,0,18,Yes,Fiber optic,No,No,No,Yes,0,1,0,0,99.75,1836.25,1.0
6754-LZUKA,0,1,0,61,Yes,DSL,No,Yes,Yes,No,0,24,0,0,80.9,4932.5,0.0
5774-QPLTF,0,1,1,50,No,No,No internet service,No internet service,No internet service,No internet service,1,12,1,0,20.35,938.95,0.0
3373-DIUUN,0,1,1,30,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,21.25,711.9,0.0
5542-DHSXL,0,1,0,4,No,DSL,Yes,Yes,No,No,0,1,0,0,54.7,235.05,0.0
1725-IQNIY,0,1,0,54,No,Fiber optic,Yes,Yes,Yes,Yes,0,24,0,0,109.75,6110.2,1.0
4525-VZCZG,0,0,1,54,No,Fiber optic,Yes,Yes,No,Yes,0,12,1,1,105.85,5826.65,0.0
7253-UVNDW,0,0,0,46,No,DSL,No,No,Yes,Yes,0,24,0,0,54.35,2460.15,1.0
5668-MEISB,0,1,1,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,0,24,0,0,106.1,7657.4,0.0
8028-PNXHQ,0,1,1,62,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,1,0,24.25,1424.6,0.0
2387-KDZQY,0,0,0,17,No,No,No internet service,No internet service,No internet service,No internet service,1,12,1,0,20.1,279.5,0.0
0816-TSPHQ,0,0,0,2,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,20.75,44.2,0.0
1226-UDFZR,0,0,0,2,No,DSL,No,Yes,No,No,0,1,1,0,49.6,114.7,1.0
5797-APWZC,0,0,0,1,No,Fiber optic,No,No,No,No,0,1,0,1,90.6,90.6,1.0
6260-ONULR,0,0,0,1,No,DSL,No,No,No,No,0,1,1,0,62.8,62.8,0.0
8631-XVRZL,0,0,0,9,No,No,No internet service,No internet service,No internet service,No internet service,1,12,1,0,20.15,163.7,0.0
9897-KXHCM,0,1,1,3,No,Fiber optic,No,No,No,No,0,1,1,1,80.3,250.05,1.0
6212-ATMLK,0,0,0,50,Yes,Fiber optic,No,No,No,No,0,1,1,1,95.7,4729.75,0.0
3703-VAVCL,0,1,1,2,No,Fiber optic,No,No,Yes,Yes,0,1,0,0,90.0,190.05,1.0
5120-ZBLAI,0,1,0,50,Yes,DSL,No,No,Yes,No,0,12,0,0,75.7,3876.2,0.0
2834-JKOOW,0,0,0,15,No phone service,DSL,Yes,Yes,Yes,Yes,0,12,0,0,45.9,693.45,0.0
8318-LCNBW,0,1,0,35,No phone service,DSL,Yes,No,Yes,No,0,12,0,0,53.15,1930.9,0.0
5577-OTWWW,0,0,0,15,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,19.75,297.3,1.0
8706-HRADD,0,0,0,21,No phone service,DSL,Yes,No,No,Yes,0,1,1,0,43.55,1011.5,0.0
8213-TAZPM,0,1,1,69,Yes,Fiber optic,No,Yes,Yes,Yes,0,12,1,0,108.75,7493.05,0.0
6366-XIVKZ,0,1,1,13,No,DSL,Yes,No,Yes,No,0,1,1,0,63.15,816.8,0.0
4785-NKHCX,1,0,0,5,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,20.05,94.15,0.0
1013-QCWAM,1,1,0,66,Yes,Fiber optic,No,Yes,No,No,0,1,1,1,100.8,6690.75,0.0
3417-TSCIC,0,0,0,29,No phone service,DSL,No,No,No,No,0,12,1,0,24.85,788.05,0.0
1728-BQDMA,0,0,0,2,No,DSL,No,No,No,No,0,1,0,1,44.45,82.7,0.0
9796-MVYXX,1,0,0,14,No phone service,DSL,Yes,No,Yes,Yes,0,24,0,0,39.7,692.35,0.0
7346-MEDWM,0,0,0,59,Yes,Fiber optic,No,Yes,Yes,No,0,1,1,1,83.25,4949.1,0.0
4851-BQDNX,0,1,1,40,No,Fiber optic,No,No,Yes,No,0,12,1,1,85.05,3355.65,0.0
4955-VCWBI,0,1,1,43,No,No,No internet service,No internet service,No internet service,No internet service,1,12,0,0,20.0,817.95,0.0
5519-TEEUH,0,0,1,33,No,No,No internet service,No internet service,No internet service,No internet service,1,12,1,0,20.15,682.15,0.0
2996-XAUVF,0,0,0,70,No phone service,DSL,No,No,No,Yes,0,24,1,0,40.05,2799.75,0.0
9878-TNQGW,0,0,0,2,No,Fiber optic,No,No,No,No,0,1,1,1,80.95,171.15,1.0
9631-RXVJM,0,0,0,35,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,19.25,677.9,0.0
1074-AMIOH,0,1,1,53,No,Fiber optic,No,Yes,Yes,Yes,0,1,1,0,108.25,5935.1,0.0
4395-PZMSN,1,0,0,5,No,Fiber optic,No,Yes,No,No,0,1,1,1,85.55,408.5,0.0
2761-XECQW,1,1,0,8,No phone service,DSL,No,Yes,Yes,No,0,1,1,0,43.35,371.4,0.0
0422-UXFAP,0,1,0,51,Yes,Fiber optic,No,No,Yes,No,0,12,1,1,98.85,4947.55,0.0
1140-UKVZG,0,0,0,17,Yes,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,24.8,475.25,0.0
9842-EFSYY,0,0,1,4,No phone service,DSL,Yes,Yes,Yes,No,0,1,1,0,57.2,223.75,0.0
3683-QKIUE,0,0,0,6,No,DSL,No,No,No,Yes,0,1,1,0,50.8,288.05,1.0
6733-LRIZX,0,0,0,35,Yes,Fiber optic,Yes,No,Yes,Yes,0,24,1,1,108.95,4025.5,0.0
1343-EHPYB,0,1,0,63,Yes,Fiber optic,No,Yes,Yes,No,0,1,1,1,103.4,6603.0,1.0
5144-PQCDZ,0,0,0,4,No,No,No internet service,No internet service,No internet service,No internet service,1,1,1,0,19.95,59.25,0.0
2123-AGEEN,1,0,0,7,No,Fiber optic,No,No,Yes,No,0,1,1,1,84.35,609.65,0.0
2737-YNGYW,0,0,0,2,No,Fiber optic,No,No,No,No,0,1,0,1,80.55,184.1,1.0
2038-OEQZH,0,0,0,4,No,Fiber optic,No,No,Yes,No,0,1,0,1,86.05,308.1,0.0
5555-RNPGT,0,0,1,10,Yes,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,24.8,223.9,0.0
3950-VPYJB,0,1,1,57,No,DSL,Yes,Yes,No,Yes,0,12,0,0,59.6,3509.4,0.0
4646-QZXTF,0,1,0,7,No,DSL,Yes,No,Yes,Yes,0,1,0,0,81.25,580.1,0.0
5019-GQVCR,1,0,0,43,Yes,Fiber optic,No,No,No,No,0,1,1,1,84.85,3645.6,0.0
3913-RDSJZ,0,1,0,64,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,25.55,1714.95,0.0
8884-ADFVN,1,1,0,7,Yes,Fiber optic,No,No,Yes,No,0,1,1,1,101.95,700.85,1.0
2546-KZAAT,0,1,0,52,No,DSL,Yes,Yes,No,No,0,12,1,0,75.4,3865.45,0.0
0431-APWVY,0,1,1,28,No,Fiber optic,No,No,No,No,0,12,1,0,90.1,2598.95,1.0
6284-AHOOQ,1,0,0,22,Yes,Fiber optic,No,No,No,Yes,0,1,1,0,90.5,1910.6,1.0
4159-NAAIX,0,0,0,63,Yes,Fiber optic,No,Yes,No,No,0,24,0,0,97.45,6253.0,0.0
5056-FIMPT,0,0,1,43,No,Fiber optic,Yes,Yes,No,Yes,0,12,1,0,106.0,4532.3,0.0
6551-VLJMV,0,1,0,34,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,20.05,679.0,0.0
5539-TMZLF,1,0,0,1,No,Fiber optic,No,No,No,No,0,1,1,1,69.75,69.75,1.0
4980-URKXC,0,1,0,36,No,No,No internet service,No internet service,No internet service,No internet service,1,12,0,0,20.85,720.05,0.0
6817-WTYHE,0,0,0,2,No,DSL,No,No,No,No,0,1,0,0,44.9,111.05,0.0
1010-DIAUQ,0,0,0,5,No,Fiber optic,No,No,Yes,No,0,1,0,0,96.5,492.55,1.0
9103-CXVOK,0,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,1,19.75,19.75,0.0
7996-MHXLW,0,0,0,66,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,1,0,25.15,1683.6,0.0
6502-KUGLL,0,1,1,14,No,DSL,Yes,Yes,No,Yes,0,1,0,0,59.45,780.85,0.0
4256-ZWTZI,0,0,1,5,No,DSL,No,No,No,Yes,0,1,1,0,51.0,286.8,0.0
8930-XOTDP,0,1,1,18,No,DSL,No,No,No,No,0,1,0,0,55.95,1082.8,0.0
7730-CLDSV,0,1,1,72,Yes,Fiber optic,No,Yes,Yes,Yes,0,24,1,0,98.65,7129.45,0.0
4385-ZKVNW,0,1,1,44,No,DSL,No,Yes,No,Yes,0,1,1,0,54.9,2549.1,0.0
5150-LJNSR,0,1,1,31,Yes,Fiber optic,Yes,No,Yes,No,0,12,0,0,98.05,3082.1,0.0
7114-AEOZE,0,0,0,60,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,19.85,1128.1,0.0
8590-YFFQO,0,1,0,70,No,DSL,Yes,Yes,Yes,Yes,0,24,0,0,64.95,4523.25,0.0
9574-RKJIF,0,1,1,30,Yes,Fiber optic,Yes,Yes,No,No,0,1,1,1,94.4,2838.7,1.0
3644-QXEHN,0,1,1,13,No,Fiber optic,No,No,Yes,No,0,1,0,1,97.0,1334.45,0.0
6198-PNNSZ,0,1,0,56,Yes,Fiber optic,Yes,Yes,Yes,No,0,12,0,0,109.8,6109.65,0.0
9065-ZCPQX,0,1,0,72,Yes,DSL,Yes,Yes,Yes,Yes,0,24,0,0,78.85,5763.15,0.0
2640-PMGFL,0,0,1,27,Yes,Fiber optic,No,No,No,Yes,0,1,1,1,79.5,2180.55,1.0
4872-JCVCA,0,1,0,71,No phone service,DSL,Yes,Yes,Yes,Yes,0,24,1,0,47.6,3377.8,0.0
7508-DQAKK,0,0,0,64,Yes,DSL,Yes,Yes,Yes,Yes,0,24,1,0,86.4,5442.05,0.0
4825-FUREZ,0,1,0,42,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,1,20.25,835.5,0.0
2545-LXYVJ,0,1,0,72,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,20.7,1492.1,0.0
1796-JANOW,0,0,0,2,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,19.95,38.15,0.0
2474-BRUCM,1,1,0,40,Yes,Fiber optic,Yes,No,No,No,0,1,0,1,101.85,4086.3,1.0
9026-LHEVG,0,0,0,9,No phone service,DSL,No,Yes,No,No,0,1,0,1,40.75,359.4,0.0
0853-NWIFK,0,0,0,45,No,Fiber optic,Yes,Yes,No,No,0,12,1,1,100.3,4483.95,0.0
0795-LAFGP,0,1,1,71,Yes,DSL,Yes,Yes,Yes,Yes,0,24,0,1,90.4,6668.05,0.0
2725-KXXWT,0,1,0,1,No,Fiber optic,No,No,No,No,0,1,1,1,90.75,90.75,1.0
7225-CBZPL,1,1,0,17,Yes,Fiber optic,No,No,No,No,0,1,1,1,94.8,1563.9,0.0
5985-TBABQ,0,0,0,32,Yes,DSL,Yes,No,No,No,0,12,0,0,74.75,2282.95,0.0
8570-KLJYJ,0,0,0,36,Yes,DSL,Yes,No,No,No,0,12,0,0,54.45,1893.5,0.0
1915-OAKWD,0,0,1,16,No,No,No internet service,No internet service,No internet service,No internet service,1,12,1,0,19.3,360.35,0.0
2777-PHDEI,0,0,0,1,No,Fiber optic,No,No,No,No,0,1,0,1,78.05,78.05,1.0
5055-MGMGF,0,1,0,65,Yes,Fiber optic,Yes,No,Yes,No,0,1,1,1,105.05,6914.95,0.0
8433-WXGNA,0,0,0,2,No,Fiber optic,Yes,No,No,No,0,1,1,1,75.7,189.2,1.0
5176-OLSKT,0,1,0,66,Yes,DSL,Yes,Yes,Yes,No,0,24,0,0,66.9,4370.25,0.0
8695-ARGXZ,1,1,0,34,Yes,Fiber optic,No,No,No,No,0,1,1,1,75.55,2425.4,0.0
4250-ZBWLV,0,0,0,68,Yes,Fiber optic,No,Yes,Yes,Yes,0,12,0,1,108.45,7176.55,1.0
9490-DFPMD,1,0,0,42,Yes,Fiber optic,No,No,No,No,0,1,1,1,84.65,3541.35,1.0
5032-USPKF,0,0,0,38,Yes,DSL,Yes,Yes,Yes,No,0,12,0,0,84.1,3187.65,0.0
0174-QRVVY,0,1,1,71,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,25.35,1847.55,0.0
6352-GIGGQ,0,0,0,67,Yes,DSL,Yes,Yes,Yes,Yes,0,12,1,0,88.8,5903.15,0.0
5055-BRMNE,0,1,1,67,Yes,Fiber optic,Yes,No,No,Yes,0,24,0,0,106.7,7009.5,0.0
7721-DVEKZ,0,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,19.65,19.65,0.0
9838-BFCQT,0,1,1,72,Yes,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,26.1,1851.45,0.0
6007-TCTST,0,1,1,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,0,24,1,0,115.8,8476.5,0.0
0392-BZIUW,0,1,0,72,Yes,Fiber optic,Yes,No,Yes,No,0,24,1,0,105.0,7589.8,0.0
0388-EOPEX,0,1,0,2,No,Fiber optic,Yes,No,No,No,0,1,1,1,74.4,139.4,1.0
6537-OTKMY,0,0,0,15,No phone service,DSL,No,No,Yes,No,0,12,0,1,50.75,688.2,0.0
1965-DDBWU,0,0,0,16,Yes,Fiber optic,No,No,No,Yes,0,1,1,0,89.05,1448.6,1.0
9958-MEKUC,0,1,1,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,0,24,0,0,103.95,7517.7,0.0
9554-DFKIC,0,1,1,30,Yes,DSL,Yes,No,No,No,0,1,1,0,54.45,1588.7,0.0
2542-HYGIQ,0,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,19.95,19.95,0.0
8990-YOZLV,0,0,0,69,Yes,DSL,Yes,Yes,No,Yes,0,24,1,0,66.9,4577.9,0.0
4369-NYSCF,0,0,0,56,No,DSL,No,Yes,No,Yes,0,12,1,0,75.75,4284.65,0.0
3069-SSVSN,0,0,0,1,No phone service,DSL,No,No,No,No,0,12,0,0,25.85,25.85,0.0
6635-CPNUN,0,1,0,28,Yes,Fiber optic,No,Yes,Yes,No,0,1,0,0,96.6,2684.35,0.0
6286-ZHAOK,0,1,1,20,Yes,No,No internet service,No internet service,No internet service,No internet service,1,1,1,0,25.55,507.4,0.0
6445-TNRXS,0,1,1,68,Yes,Fiber optic,Yes,Yes,Yes,Yes,0,24,1,0,114.7,7849.85,0.0
8996-ZROXE,1,0,0,57,No,DSL,No,No,Yes,Yes,0,12,1,1,53.5,3035.8,0.0
7339-POGZN,0,0,0,4,Yes,DSL,No,No,No,No,0,1,0,1,50.7,214.55,0.0
3027-ZTDHO,0,0,0,1,No,Fiber optic,No,No,No,No,0,1,1,1,89.9,89.9,1.0
6543-XRMYR,1,0,0,30,Yes,Fiber optic,No,Yes,No,No,0,1,1,1,99.7,2967.35,1.0
4626-GYCZP,0,0,0,7,Yes,Fiber optic,No,No,No,No,0,1,1,1,93.85,635.6,1.0
8106-GWQOK,0,1,0,38,No phone service,DSL,Yes,Yes,No,Yes,0,24,1,0,60.0,2193.2,0.0
0953-LGOVU,0,1,1,12,No phone service,DSL,No,Yes,No,Yes,0,1,0,0,35.5,432.25,0.0
0604-THJFP,0,1,1,59,No,DSL,No,Yes,No,Yes,0,24,1,0,75.95,4542.35,0.0
1814-DKOLC,0,0,0,5,Yes,No,No internet service,No internet service,No internet service,No internet service,1,1,0,0,25.45,134.75,0.0
3212-KXOCR,0,0,0,52,No,No,No internet service,No internet service,No internet service,No internet service,1,24,0,0,21.0,1107.2,0.0
8374-UULRV,0,0,0,72,Yes,DSL,Yes,Yes,No,Yes,0,24,0,0,86.05,6309.65,0.0
