car_ID,symboling,aspiration,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
12,0,std,sedan,1,101.2,176.8,64.8,54.3,2395,ohc,2,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925.0
194,0,std,wagon,0,100.4,183.1,66.9,55.1,2563,ohc,2,109,mpfi,3.19,3.4,9.0,88,5500,25,31,12290.0
153,1,std,hatchback,0,95.7,158.7,63.6,54.5,2015,ohc,2,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488.0
106,3,turbo,hatchback,1,91.3,170.7,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0
75,1,std,hardtop,1,112.0,199.2,72.0,55.4,3715,ohcv,8,304,mpfi,3.8,3.35,8.0,184,4500,14,16,45400.0
98,1,std,wagon,0,94.5,170.2,63.8,53.5,2037,ohc,2,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999.0
67,0,std,sedan,1,104.9,175.0,66.1,54.4,2700,ohc,2,134,idi,3.43,3.64,22.0,72,4200,31,39,18344.0
127,3,std,hardtop,1,89.5,168.9,65.0,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528.0
52,1,std,hatchback,0,93.1,159.1,64.2,54.1,1900,ohc,2,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0
178,-1,std,hatchback,0,102.4,175.6,66.5,53.9,2458,ohc,2,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248.0
171,2,std,hardtop,1,98.4,176.2,65.6,52.0,2679,ohc,2,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199.0
93,1,std,sedan,0,94.5,165.3,63.8,54.5,1938,ohc,2,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849.0
84,3,turbo,hatchback,0,95.9,173.2,66.3,50.2,2921,ohc,2,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869.0
172,2,std,hatchback,1,98.4,176.2,65.6,52.0,2714,ohc,2,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11549.0
38,0,std,hatchback,0,96.5,167.5,65.2,53.3,2236,ohc,2,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0
123,1,std,sedan,0,93.7,167.3,63.8,50.8,2191,ohc,2,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0
156,0,std,wagon,0,95.7,169.7,63.6,59.1,3110,ohc,2,92,2bbl,3.05,3.03,9.0,62,4800,27,32,8778.0
174,-1,std,sedan,0,102.4,175.6,66.5,54.9,2326,ohc,2,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948.0
162,0,std,hatchback,0,95.7,166.3,64.4,52.8,2122,ohc,2,98,2bbl,3.19,3.03,9.0,70,4800,28,34,8358.0
139,2,std,hatchback,0,93.7,156.9,63.4,53.7,2050,ohcf,2,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118.0
130,1,std,hatchback,1,98.4,175.7,72.3,50.5,3366,dohcv,8,203,mpfi,3.94,3.11,10.0,288,5750,17,28,31400.5
99,2,std,hardtop,0,95.1,162.4,63.8,53.3,2008,ohc,2,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249.0
150,0,turbo,wagon,0,96.9,173.6,65.4,54.9,2650,ohcf,2,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694.0
32,2,std,hatchback,0,86.6,144.6,63.9,50.8,1819,ohc,2,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855.0
136,2,std,sedan,0,99.1,186.6,66.5,56.1,2758,ohc,2,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0
61,0,std,sedan,0,98.8,177.8,66.5,55.5,2410,ohc,2,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495.0
122,1,std,sedan,0,93.7,167.3,63.8,50.8,1989,ohc,2,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0
96,1,std,hatchback,0,94.5,165.6,63.8,53.3,2028,ohc,2,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799.0
78,2,std,hatchback,0,93.7,157.3,64.4,50.8,1944,ohc,2,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0
33,1,std,hatchback,0,93.7,150.0,64.0,52.6,1837,ohc,2,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0
29,-1,std,wagon,0,103.3,174.6,64.6,59.8,2535,ohc,2,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0
34,1,std,hatchback,0,93.7,150.0,64.0,52.6,1940,ohc,2,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0
196,-1,std,wagon,1,104.3,188.8,67.2,57.5,3034,ohc,2,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415.0
57,3,std,hatchback,1,95.3,169.0,65.7,49.6,2380,rotor,4,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845.0
149,0,std,wagon,0,96.9,173.6,65.4,54.9,2420,ohcf,2,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013.0
46,0,std,sedan,0,94.5,155.9,63.6,52.0,1909,ohc,2,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5
22,1,std,hatchback,0,93.7,157.3,63.8,50.8,1876,ohc,2,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0
51,1,std,hatchback,0,93.1,159.1,64.2,54.1,1890,ohc,2,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0
4,2,std,sedan,0,99.8,176.6,66.2,54.3,2337,ohc,2,109,mpfi,3.19,3.4,10.0,102,5500,24,30,13950.0
35,1,std,hatchback,0,93.7,150.0,64.0,52.6,1956,ohc,2,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0
145,0,std,sedan,0,97.0,172.0,65.4,54.3,2385,ohcf,2,108,2bbl,3.62,2.64,9.0,82,4800,24,25,9233.0
152,1,std,hatchback,0,95.7,158.7,63.6,54.5,2040,ohc,2,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6338.0
108,0,std,sedan,1,107.9,186.7,68.4,56.7,3020,l,2,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0
44,0,std,sedan,1,94.3,170.7,61.8,53.5,2337,ohc,2,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785.0
107,1,std,hatchback,1,99.2,178.5,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399.0
82,3,std,hatchback,0,96.3,173.0,65.4,49.4,2328,ohc,2,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499.0
74,0,std,sedan,1,120.9,208.1,71.7,56.7,3900,ohcv,8,308,mpfi,3.8,3.35,8.0,184,4500,14,16,40960.0
77,2,std,hatchback,0,93.7,157.3,64.4,50.8,1918,ohc,2,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0
135,3,std,hatchback,0,99.1,186.6,66.5,56.1,2707,ohc,2,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040.0
15,1,std,sedan,1,103.5,189.0,66.9,55.7,3055,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0
111,0,turbo,wagon,1,114.2,198.9,68.4,58.7,3430,l,2,152,idi,3.7,3.52,21.0,95,4150,25,25,13860.0
40,0,std,sedan,0,96.5,175.4,65.2,54.1,2304,ohc,2,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0
1,3,std,convertible,1,88.6,168.8,64.1,48.8,2548,dohc,2,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13495.0
168,2,std,hardtop,1,98.4,176.2,65.6,52.0,2540,ohc,2,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449.0
188,2,turbo,sedan,0,97.3,171.7,65.5,55.7,2319,ohc,2,97,idi,3.01,3.4,23.0,68,4500,37,42,9495.0
88,1,turbo,sedan,0,96.3,172.4,65.4,51.6,2403,ohc,2,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0
186,2,std,sedan,0,97.3,171.7,65.5,55.7,2212,ohc,2,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8195.0
49,0,std,sedan,1,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550.0
10,0,turbo,hatchback,0,99.5,178.2,67.9,52.0,3053,ohc,5,131,mpfi,3.13,3.4,7.0,160,5500,16,22,17859.167
55,1,std,sedan,0,93.1,166.8,64.2,54.1,1950,ohc,2,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0
131,0,std,wagon,0,96.1,181.5,66.5,55.2,2579,ohc,2,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9295.0
62,1,std,hatchback,0,98.8,177.8,66.5,53.7,2385,ohc,2,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595.0
3,1,std,hatchback,1,94.5,171.2,65.5,52.4,2823,ohcv,6,152,mpfi,2.68,3.47,9.0,154,5000,19,26,16500.0
138,2,turbo,sedan,0,99.1,186.6,66.5,56.1,2847,dohc,2,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0
125,3,turbo,hatchback,1,95.9,173.2,66.3,50.2,2818,ohc,2,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764.0
42,0,std,sedan,0,96.5,175.4,65.2,54.1,2465,ohc,2,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0
161,0,std,sedan,0,95.7,166.3,64.4,53.0,2094,ohc,2,98,2bbl,3.19,3.03,9.0,70,4800,38,47,7738.0
205,-1,turbo,sedan,1,109.1,188.8,68.9,55.5,3062,ohc,2,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625.0
176,-1,std,hatchback,0,102.4,175.6,66.5,53.9,2414,ohc,2,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988.0
185,2,std,sedan,0,97.3,171.7,65.5,55.7,2264,ohc,2,97,idi,3.01,3.4,23.0,52,4800,37,46,7995.0
197,-2,std,sedan,1,104.3,188.8,67.2,56.2,2935,ohc,2,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985.0
142,0,std,sedan,0,97.2,172.0,65.4,52.5,2145,ohcf,2,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126.0
48,0,std,sedan,1,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0
37,0,std,wagon,0,96.5,157.1,63.9,58.3,2024,ohc,2,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0
26,1,std,sedan,0,93.7,157.3,63.8,50.6,1989,ohc,2,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0
103,0,std,wagon,0,100.4,184.6,66.5,56.1,3296,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0
7,1,std,sedan,0,105.8,192.7,71.4,55.7,2844,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710.0
170,2,std,hatchback,1,98.4,176.2,65.6,52.0,2551,ohc,2,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9989.0
30,3,turbo,hatchback,0,95.9,173.2,66.3,50.2,2811,ohc,2,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964.0
167,1,std,hatchback,1,94.5,168.7,64.0,52.6,2300,dohc,2,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9538.0
27,1,std,sedan,0,93.7,157.3,63.8,50.6,1989,ohc,2,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0
69,-1,turbo,wagon,1,110.0,190.9,70.3,58.7,3750,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28248.0
183,2,std,sedan,0,97.3,171.7,65.5,55.7,2261,ohc,2,97,idi,3.01,3.4,23.0,52,4800,37,46,7775.0
179,3,std,hatchback,1,102.9,183.5,67.7,52.0,2976,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558.0
59,3,std,hatchback,1,95.3,169.0,65.7,49.6,2500,rotor,4,80,mpfi,3.33,3.255,9.4,135,6000,16,23,15645.0
202,-1,turbo,sedan,1,109.1,188.8,68.8,55.5,3049,ohc,2,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045.0
143,0,std,sedan,0,97.2,172.0,65.4,52.5,2190,ohcf,2,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775.0
90,1,std,sedan,0,94.5,165.3,63.8,54.5,1889,ohc,2,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0
120,1,turbo,hatchback,0,93.7,157.3,63.8,50.8,2128,ohc,2,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957.0
193,0,turbo,sedan,0,100.4,180.2,66.9,55.1,2579,ohc,2,97,idi,3.01,3.4,23.0,68,4500,33,38,13845.0
157,0,std,sedan,0,95.7,166.3,64.4,53.0,2081,ohc,2,98,2bbl,3.19,3.03,9.0,70,4800,30,37,6938.0
140,2,std,hatchback,0,93.7,157.9,63.6,53.7,2120,ohcf,2,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053.0
92,1,std,sedan,0,94.5,165.3,63.8,54.5,1918,ohc,2,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649.0
166,1,std,sedan,1,94.5,168.7,64.0,52.6,2265,dohc,2,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298.0
110,0,std,wagon,1,114.2,198.9,68.4,58.7,3230,l,2,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0
134,2,std,sedan,0,99.1,186.6,66.5,56.1,2695,ohc,2,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0
148,0,std,wagon,0,97.0,173.5,65.4,53.0,2455,ohcf,2,108,mpfi,3.62,2.64,9.0,94,5200,25,31,10198.0
53,1,std,hatchback,0,93.1,159.1,64.2,54.1,1905,ohc,2,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0
147,0,std,wagon,0,97.0,173.5,65.4,53.0,2290,ohcf,2,108,2bbl,3.62,2.64,9.0,82,4800,28,32,7463.0
117,0,turbo,sedan,1,107.9,186.7,68.4,56.7,3252,l,2,152,idi,3.7,3.52,21.0,95,4150,28,33,17950.0
95,1,std,sedan,0,94.5,165.3,63.8,54.5,1951,ohc,2,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0
155,0,std,wagon,0,95.7,169.7,63.6,59.1,2290,ohc,2,92,2bbl,3.05,3.03,9.0,62,4800,27,32,7898.0
39,0,std,hatchback,0,96.5,167.5,65.2,53.3,2289,ohc,2,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0
102,0,std,sedan,0,100.4,181.7,66.5,55.1,3095,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0
97,1,std,sedan,0,94.5,165.3,63.8,54.5,1971,ohc,2,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0
18,0,std,sedan,1,110.0,197.0,70.9,56.3,3505,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0
101,0,std,sedan,0,97.2,173.4,65.2,54.7,2302,ohc,2,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549.0
126,3,std,hatchback,1,94.5,168.9,68.3,50.2,2778,ohc,2,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0
189,2,std,sedan,0,97.3,171.7,65.5,55.7,2300,ohc,2,109,mpfi,3.19,3.4,10.0,100,5500,26,32,9995.0
8,1,std,wagon,0,105.8,192.7,71.4,55.7,2954,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920.0
13,0,std,sedan,1,101.2,176.8,64.8,54.3,2710,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0
21,0,std,sedan,0,94.5,158.8,63.6,52.0,1909,ohc,2,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0
114,0,std,wagon,1,114.2,198.9,68.4,56.7,3285,l,2,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0
181,-1,std,sedan,1,104.5,187.8,66.5,54.1,3131,dohc,6,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690.0
119,1,std,hatchback,0,93.7,157.3,63.8,50.8,1918,ohc,2,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0
121,1,std,hatchback,0,93.7,157.3,63.8,50.6,1967,ohc,2,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0
70,0,turbo,hardtop,1,106.7,187.5,70.3,54.9,3495,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28176.0
85,3,turbo,hatchback,0,95.9,173.2,66.3,50.2,2926,ohc,2,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489.0
28,1,turbo,sedan,0,93.7,157.3,63.8,50.6,2191,ohc,2,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558.0
45,1,std,sedan,0,94.5,155.9,63.6,52.0,1874,ohc,2,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5
14,0,std,sedan,1,101.2,176.8,64.8,54.3,2765,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0
9,1,turbo,sedan,0,105.8,192.7,71.4,55.9,3086,ohc,5,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875.0
36,0,std,sedan,0,96.5,163.4,64.0,54.5,2010,ohc,2,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0
71,-1,turbo,sedan,1,115.6,202.6,71.7,56.3,3770,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,31600.0
31,2,std,hatchback,0,86.6,144.6,63.9,50.8,1713,ohc,2,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0
200,-1,turbo,wagon,1,104.3,188.8,67.2,57.5,3157,ohc,2,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950.0
72,-1,std,sedan,1,115.6,202.6,71.7,56.5,3740,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184.0
94,1,std,wagon,0,94.5,170.2,63.8,53.5,2024,ohc,2,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349.0
109,0,turbo,sedan,1,107.9,186.7,68.4,56.7,3197,l,2,152,idi,3.7,3.52,21.0,95,4150,28,33,13200.0
81,3,turbo,hatchback,0,96.3,173.0,65.4,49.4,2370,ohc,2,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959.0
164,1,std,sedan,1,94.5,168.7,64.0,52.6,2169,ohc,2,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8058.0
187,2,std,sedan,0,97.3,171.7,65.5,55.7,2275,ohc,2,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8495.0
191,3,std,hatchback,0,94.5,165.7,64.0,51.4,2221,ohc,2,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980.0
